name,ra,dec,plate,mjd,fiberID,subclass,u_mag,g_mag,r_mag,i_mag,z_mag
709436547593693184,251.4006,40.046231,630,52050,435,M0,23.913,20.41385,19.15941,18.31278,18.27304
709353259587889152,252.27641,38.975947,630,52050,132,M0,19.68235,19.25518,18.35976,17.70524,17.32027
887233355072956416,213.17311,58.756814,788,52338,88,M3,22.66266,20.50315,19.05467,17.94975,17.37454
887219061421795328,215.18308,58.835207,788,52338,36,M0,22.5068,20.17021,18.71899,17.98369,17.57878
887245999456675840,212.89461,58.603925,788,52338,134,M0,22.78115,20.89463,19.46354,18.79645,18.44947
887219336299702272,214.92113,59.185485,788,52338,37,M3,22.23306,19.61382,18.06622,16.79972,16.13975
775756618636748800,8.1558942,-1.0161562,689,52262,42,M2,23.16709,20.43183,19.04492,17.95515,17.41594
774724176228411392,5.0977821,0.27838365,688,52203,382,M4,23.3898,21.17999,19.80985,18.38539,17.592
774745341827246080,5.8951369,0.67274762,688,52203,459,M2,23.53466,23.25551,20.97462,19.55059,18.63208
774790146926077952,7.017124,0.60473949,688,52203,622,M4,23.06385,21.11449,19.65911,18.26376,17.49605
333353816885848064,198.59723,-0.26802733,296,51984,318,M1,21.96034,19.20511,17.76918,16.87614,16.38058
364810289465550848,183.96735,-0.28146134,324,51666,68,M1,21.68151,19.1617,17.7797,16.92953,16.43698
364811388977178624,184.10066,-0.31902145,324,51666,72,M3,21.93732,19.70728,18.26746,17.00529,16.31489
364814412634155008,183.20758,-1.1962957,324,51666,83,M3,22.25344,19.7946,18.37981,17.136,16.45592
364817161413224448,183.32381,-0.99655917,324,51666,93,M2,22.58237,19.77426,18.28932,17.3084,16.77449
364817436291131392,183.41635,-0.95722057,324,51666,94,M1,22.17131,19.76565,18.32022,17.47,16.99104
364817711169038336,183.40104,-0.73124237,324,51666,95,M2,21.76012,19.61077,18.16541,17.31652,16.79622
364818535802759168,183.53008,-1.2376196,324,51666,98,M1,23.16555,19.7103,18.21049,17.35237,16.80854
364819360436480000,183.61985,-0.37632448,324,51666,101,M2,22.61994,19.87292,18.46868,17.50831,16.97059
364838327012059136,183.06002,-0.30219143,324,51666,170,M1,22.02695,19.83636,18.45393,17.62836,17.14412
364833654087641088,183.48762,-0.39884583,324,51666,153,M2,21.38667,19.11814,17.64666,16.55656,15.96569
364830630430664704,183.60273,-0.35622411,324,51666,142,M0,21.84507,19.71815,18.42552,17.78711,17.4269
364821009703921664,183.83633,-0.23022353,324,51666,107,M2,22.08395,19.35665,18.06887,16.95825,16.36844
364819635314386944,183.84024,-0.37881713,324,51666,102,M2,21.94206,19.39328,18.00416,17.12017,16.60785
364822384093456384,183.85069,0.02324652,324,51666,112,M0,21.83665,19.12211,17.70682,16.89457,16.45445
364828706285316096,182.90613,-0.93111596,324,51666,135,M4,22.35049,19.68295,18.22438,16.83768,16.0675
364826232384153600,183.19411,-1.0444116,324,51666,126,M2,22.26658,19.73122,18.30594,17.30915,16.76502
364837502378338304,183.17117,-0.50509954,324,51666,167,M1,22.76987,19.7623,18.3804,17.596,17.14553
364833928965548032,183.29833,-0.46045545,324,51666,154,M3,22.65542,19.78718,18.31028,17.11575,16.45739
364832829453920256,183.30355,-0.51758516,324,51666,150,M1,21.79123,19.22891,17.89464,17.0448,16.56151
364833379209734144,183.46953,-0.48019754,324,51666,152,M1,22.25804,19.83434,18.34533,17.47948,17.01662
364832554576013312,183.45808,-0.58948845,324,51666,149,M0,22.40439,19.73319,18.28709,17.61821,17.22931
364831180186478592,183.56303,-0.51323485,324,51666,144,M1,22.59444,19.51918,18.12014,17.29652,16.84243
364819910192293888,183.7734,-0.53032183,324,51666,103,M3,22.73113,19.84937,18.49878,17.19256,16.48883
364820185070200832,183.72452,-0.07052522,324,51666,104,M3,22.47694,19.91507,18.3847,17.2018,16.56276
